o_hex,d_hex,trips
872a8b102ffffff,872a8bc28ffffff,1
872a8b102ffffff,872a8bc2affffff,5
872a8b102ffffff,872a8bc2bffffff,1
872a8b102ffffff,872a8bc2effffff,3
872a8b102ffffff,872a8bc41ffffff,2
872a8b102ffffff,872a8bc49ffffff,150
872a8b102ffffff,872a8bc4affffff,2
872a8b102ffffff,872a8bc4effffff,27
872a8b102ffffff,872a8bc50ffffff,1
872a8b104ffffff,872a8bc41ffffff,210
872a8b104ffffff,872a8bc4effffff,3
872a8b104ffffff,872a8bc50ffffff,6
872a8b110ffffff,872a8bc2bffffff,2
872a8b110ffffff,872a8bc41ffffff,7
872a8b110ffffff,872a8bc44ffffff,1
872a8b110ffffff,872a8bc4affffff,1
872a8b110ffffff,872a8bc4effffff,10
872a8b110ffffff,872a8bc51ffffff,3
872a8b112ffffff,872a8bc4effffff,1
872a8b113ffffff,872a8bc4affffff,5
872a8b113ffffff,872a8bc4effffff,7
872a8b114ffffff,872a8bc2affffff,1
872a8b114ffffff,872a8bc2effffff,2
872a8b114ffffff,872a8bc40ffffff,5
872a8b114ffffff,872a8bc41ffffff,30
872a8b116ffffff,872a8b116ffffff,1
872a8b116ffffff,872a8bc48ffffff,2
872a8b116ffffff,872a8bc4affffff,1
872a8b116ffffff,872a8bc4effffff,12
872a8b11effffff,872a8bc4affffff,101
872a8b11effffff,872a8bc4effffff,12
872a8b11effffff,872a8bc50ffffff,5
872a8b11effffff,872a8bc52ffffff,1
872a8b12affffff,872a8bc2affffff,1
872a8b12affffff,872a8bc41ffffff,1
872a8b12affffff,872a8bc4effffff,9
872a8b130ffffff,872a8bc4effffff,1
872a8b132ffffff,872a8bc4effffff,78
872a8b134ffffff,872a8bc4affffff,1
872a8b135ffffff,872a8bc4effffff,4
872a8b135ffffff,872a8bc50ffffff,8
872a8b135ffffff,872a8bc51ffffff,4
872a8b136ffffff,872a8bc41ffffff,1
872a8b136ffffff,872a8bc4affffff,15
872a8b136ffffff,872a8bc4effffff,16
872a8b136ffffff,872a8bcd2ffffff,3
872a8b185ffffff,872a8bc28ffffff,1
872a8b185ffffff,872a8bc2effffff,1
872a8b185ffffff,872a8bc4effffff,1
872a8b195ffffff,872a8bc40ffffff,9
872a8b195ffffff,872a8bc4effffff,1
872a8b195ffffff,872a8bc50ffffff,3
872a8b1a2ffffff,872a8bc2affffff,1
872a8b1a2ffffff,872a8bc41ffffff,1
872a8b1a2ffffff,872a8bc4effffff,5
872a8b1a2ffffff,872a8bc50ffffff,2
872a8b1a4ffffff,872a8bc41ffffff,69
872a8b1a6ffffff,872a8bc41ffffff,61
872a8b1a6ffffff,872a8bc4affffff,1
872a8b1a6ffffff,872a8bc4effffff,10
872a8b1adffffff,872a8bc48ffffff,1
872a8b1adffffff,872a8bc51ffffff,91
872a8b1aeffffff,872a8bc2affffff,7
872a8b1b5ffffff,872a8bcd2ffffff,1
872a8b520ffffff,872a8b520ffffff,1
872a8b520ffffff,872a8bc41ffffff,93
872a8b521ffffff,872a8b521ffffff,2
872a8b521ffffff,872a8bc2affffff,12
872a8b521ffffff,872a8bc2effffff,1
872a8b521ffffff,872a8bc4affffff,54
872a8b521ffffff,872a8bc4effffff,15
872a8b521ffffff,872a8bc51ffffff,10
872a8b521ffffff,872a8bcd2ffffff,21
872a8b525ffffff,872a8b525ffffff,1
872a8b525ffffff,872a8bc28ffffff,1
872a8b525ffffff,872a8bc2affffff,1
872a8b525ffffff,872a8bc4effffff,2
872a8b525ffffff,872a8bc50ffffff,6
872a8b525ffffff,872a8bcd2ffffff,20
872a8b525ffffff,872a8bcd4ffffff,1
872a8b526ffffff,872a8bc4affffff,2
872a8b528ffffff,872a8bc50ffffff,1
872a8b528ffffff,872a8bc52ffffff,2
872a8b528ffffff,872a8bcd2ffffff,1
872a8b52affffff,872a8bc23ffffff,1
872a8b555ffffff,872a8bc51ffffff,1
872a8b562ffffff,872a8bc4affffff,3
872a8b562ffffff,872a8bc4effffff,4
872a8b564ffffff,872a8bc89ffffff,2
872a8b565ffffff,872a8bc4affffff,1
872a8b565ffffff,872a8bcd2ffffff,4
872a8b574ffffff,872a8b574ffffff,2
872a8b574ffffff,872a8bc2effffff,1
872a8b574ffffff,872a8bc49ffffff,165
872a8b574ffffff,872a8bc51ffffff,1
872a8b575ffffff,872a8bc50ffffff,2
872a8b891ffffff,872a8bc2effffff,11
872a8b893ffffff,872a8bc4effffff,3
872a8b896ffffff,872a8bc28ffffff,2
872a8b896ffffff,872a8bc2affffff,1
872a8b896ffffff,872a8bc2bffffff,2
872a8b896ffffff,872a8bc2effffff,5
872a8b896ffffff,872a8bc4effffff,1
872a8b89affffff,872a8bc2affffff,7
872a8b89affffff,872a8bc4effffff,16
872a8b89bffffff,872a8b114ffffff,5
872a8b89bffffff,872a8b89bffffff,1
872a8b89bffffff,872a8bc2affffff,4
872a8b89bffffff,872a8bc40ffffff,3
872a8b89bffffff,872a8bc44ffffff,3
872a8b89bffffff,872a8bc4effffff,11
872a8b89bffffff,872a8bcd6ffffff,1
872a8b89effffff,872a8bc2affffff,1
872a8b89effffff,872a8bc4affffff,2
872a8b8b6ffffff,872a8b8b6ffffff,1
872a8b8b6ffffff,872a8bc2effffff,28
872a8bc00ffffff,872a8bc00ffffff,2
872a8bc00ffffff,872a8bc2affffff,7
872a8bc00ffffff,872a8bc2effffff,10
872a8bc00ffffff,872a8bc41ffffff,121
872a8bc00ffffff,872a8bc4affffff,1
872a8bc00ffffff,872a8bc4effffff,3
872a8bc00ffffff,872a8bc50ffffff,3
872a8bc00ffffff,872a8bc51ffffff,1
872a8bc00ffffff,872a8bc52ffffff,4
872a8bc01ffffff,872a8bc01ffffff,4
872a8bc01ffffff,872a8bc23ffffff,26
872a8bc01ffffff,872a8bc28ffffff,17
872a8bc01ffffff,872a8bc2affffff,389
872a8bc01ffffff,872a8bc2bffffff,6
872a8bc01ffffff,872a8bc2cffffff,2
872a8bc01ffffff,872a8bc2effffff,64
872a8bc01ffffff,872a8bc41ffffff,15
872a8bc01ffffff,872a8bc44ffffff,1
872a8bc01ffffff,872a8bc49ffffff,152
872a8bc01ffffff,872a8bc4affffff,8
872a8bc01ffffff,872a8bc4effffff,72
872a8bc01ffffff,872a8bc50ffffff,12
872a8bc01ffffff,872a8bc51ffffff,13
872a8bc01ffffff,872a8bc52ffffff,7
872a8bc01ffffff,872a8bc53ffffff,9
872a8bc01ffffff,872a8bcd2ffffff,10
872a8bc01ffffff,872a8bcd6ffffff,1
872a8bc03ffffff,872a8bc2affffff,2
872a8bc03ffffff,872a8bc2cffffff,2
872a8bc03ffffff,872a8bc4effffff,1
872a8bc04ffffff,872a8bc04ffffff,1
872a8bc04ffffff,872a8bc23ffffff,28
872a8bc04ffffff,872a8bc28ffffff,4
872a8bc04ffffff,872a8bc2affffff,12
872a8bc04ffffff,872a8bc2effffff,15
872a8bc04ffffff,872a8bc4effffff,10
872a8bc04ffffff,872a8bc50ffffff,3
872a8bc04ffffff,872a8bcd2ffffff,4
872a8bc04ffffff,872a8bd53ffffff,172
872a8bc05ffffff,872a8bc05ffffff,13
872a8bc05ffffff,872a8bc23ffffff,29
872a8bc05ffffff,872a8bc28ffffff,44
872a8bc05ffffff,872a8bc2affffff,326
872a8bc05ffffff,872a8bc2bffffff,25
872a8bc05ffffff,872a8bc2cffffff,22
872a8bc05ffffff,872a8bc2effffff,177
872a8bc05ffffff,872a8bc40ffffff,2
872a8bc05ffffff,872a8bc41ffffff,364
872a8bc05ffffff,872a8bc44ffffff,1
872a8bc05ffffff,872a8bc48ffffff,23
872a8bc05ffffff,872a8bc49ffffff,185
872a8bc05ffffff,872a8bc4affffff,52
872a8bc05ffffff,872a8bc4dffffff,3
872a8bc05ffffff,872a8bc4effffff,162
872a8bc05ffffff,872a8bc50ffffff,17
872a8bc05ffffff,872a8bc51ffffff,30
872a8bc05ffffff,872a8bc52ffffff,6
872a8bc05ffffff,872a8bc68ffffff,1
872a8bc05ffffff,872a8bc89ffffff,6
872a8bc05ffffff,872a8bca9ffffff,2
872a8bc05ffffff,872a8bcd2ffffff,9
872a8bc05ffffff,872a8bcd6ffffff,2
872a8bc06ffffff,872a8bc06ffffff,1
872a8bc06ffffff,872a8bc2affffff,1
872a8bc06ffffff,872a8bc2effffff,6
872a8bc06ffffff,872a8bc48ffffff,2
872a8bc06ffffff,872a8bc4effffff,1
872a8bc08ffffff,872a8bc41ffffff,9
872a8bc08ffffff,872a8bc50ffffff,1
872a8bc0cffffff,872a8bc2effffff,1
872a8bc0cffffff,872a8bc41ffffff,1
872a8bc0cffffff,872a8bc4effffff,3
872a8bc0dffffff,872a8bc0dffffff,1
872a8bc0dffffff,872a8bc2bffffff,1
872a8bc0dffffff,872a8bc4affffff,6
872a8bc11ffffff,872a8bc11ffffff,1
872a8bc11ffffff,872a8bc49ffffff,93
872a8bc15ffffff,872a8bc28ffffff,1
872a8bc15ffffff,872a8bc2effffff,3
872a8bc15ffffff,872a8bc4effffff,2
872a8bc15ffffff,872a8bc50ffffff,2
872a8bc18ffffff,872a8bc4effffff,3
872a8bc1affffff,872a8bc28ffffff,12
872a8bc1affffff,872a8bc2affffff,20
872a8bc1affffff,872a8bc4effffff,1
872a8bc1bffffff,872a8bc4affffff,1
872a8bc1cffffff,872a8bc28ffffff,2
872a8bc1cffffff,872a8bc2affffff,5
872a8bc1cffffff,872a8bc2bffffff,1
872a8bc1cffffff,872a8bc2cffffff,1
872a8bc1cffffff,872a8bc2effffff,15
872a8bc1cffffff,872a8bc44ffffff,2
872a8bc1cffffff,872a8bc4effffff,4
872a8bc1cffffff,872a8bc50ffffff,2
872a8bc1cffffff,872a8bc51ffffff,12
872a8bc1cffffff,872a8bc52ffffff,1
872a8bc1cffffff,872a8bc53ffffff,43
872a8bc1cffffff,872a8bcd2ffffff,8
872a8bc1dffffff,872a8bc2bffffff,8
872a8bc1dffffff,872a8bc2effffff,2
872a8bc1dffffff,872a8bc41ffffff,1
872a8bc1dffffff,872a8bc50ffffff,13
872a8bc1dffffff,872a8bc51ffffff,9
872a8bc20ffffff,872a8bc20ffffff,1
872a8bc20ffffff,872a8bc23ffffff,35
872a8bc20ffffff,872a8bc28ffffff,2
872a8bc20ffffff,872a8bc2affffff,12
872a8bc20ffffff,872a8bc2bffffff,9
872a8bc20ffffff,872a8bc2cffffff,4
872a8bc20ffffff,872a8bc2effffff,27
872a8bc20ffffff,872a8bc4affffff,2
872a8bc20ffffff,872a8bc4effffff,1
872a8bc20ffffff,872a8bc51ffffff,2
872a8bc21ffffff,872a8bc21ffffff,1
872a8bc21ffffff,872a8bc28ffffff,6
872a8bc21ffffff,872a8bc2affffff,20
872a8bc21ffffff,872a8bc2bffffff,6
872a8bc21ffffff,872a8bc2cffffff,7
872a8bc21ffffff,872a8bc2effffff,36
872a8bc21ffffff,872a8bc41ffffff,4
872a8bc21ffffff,872a8bc48ffffff,6
872a8bc21ffffff,872a8bc4affffff,3
872a8bc21ffffff,872a8bc4effffff,27
872a8bc21ffffff,872a8bc50ffffff,6
872a8bc21ffffff,872a8bc51ffffff,9
872a8bc21ffffff,872a8bcd2ffffff,1
872a8bc22ffffff,872a8bc2affffff,1
872a8bc22ffffff,872a8bc2cffffff,1
872a8bc22ffffff,872a8bc41ffffff,2
872a8bc22ffffff,872a8bc48ffffff,2
872a8bc22ffffff,872a8bc4effffff,7
872a8bc22ffffff,872a8bc51ffffff,1
872a8bc23ffffff,872a8b52affffff,1
872a8bc23ffffff,872a8bc00ffffff,220
872a8bc23ffffff,872a8bc01ffffff,25
872a8bc23ffffff,872a8bc04ffffff,28
872a8bc23ffffff,872a8bc05ffffff,29
872a8bc23ffffff,872a8bc06ffffff,2
872a8bc23ffffff,872a8bc1dffffff,1
872a8bc23ffffff,872a8bc20ffffff,34
872a8bc23ffffff,872a8bc23ffffff,5
872a8bc23ffffff,872a8bc28ffffff,4
872a8bc23ffffff,872a8bc2affffff,117
872a8bc23ffffff,872a8bc2bffffff,3
872a8bc23ffffff,872a8bc2cffffff,19
872a8bc23ffffff,872a8bc2effffff,32
872a8bc23ffffff,872a8bc41ffffff,147
872a8bc23ffffff,872a8bc43ffffff,4
872a8bc23ffffff,872a8bc48ffffff,2
872a8bc23ffffff,872a8bc4affffff,26
872a8bc23ffffff,872a8bc4effffff,73
872a8bc23ffffff,872a8bc50ffffff,4
872a8bc23ffffff,872a8bc51ffffff,10
872a8bc23ffffff,872a8bc8bffffff,23
872a8bc23ffffff,872a8bd53ffffff,17
872a8bc28ffffff,872a8b102ffffff,1
872a8bc28ffffff,872a8b185ffffff,1
872a8bc28ffffff,872a8b525ffffff,1
872a8bc28ffffff,872a8b896ffffff,2
872a8bc28ffffff,872a8bc01ffffff,16
872a8bc28ffffff,872a8bc04ffffff,3
872a8bc28ffffff,872a8bc05ffffff,39
872a8bc28ffffff,872a8bc15ffffff,1
872a8bc28ffffff,872a8bc1affffff,11
872a8bc28ffffff,872a8bc1cffffff,2
872a8bc28ffffff,872a8bc20ffffff,1
872a8bc28ffffff,872a8bc21ffffff,6
872a8bc28ffffff,872a8bc23ffffff,4
872a8bc28ffffff,872a8bc28ffffff,25
872a8bc28ffffff,872a8bc2affffff,194
872a8bc28ffffff,872a8bc2bffffff,2
872a8bc28ffffff,872a8bc2cffffff,30
872a8bc28ffffff,872a8bc2effffff,172
872a8bc28ffffff,872a8bc41ffffff,10
872a8bc28ffffff,872a8bc44ffffff,2
872a8bc28ffffff,872a8bc48ffffff,11
872a8bc28ffffff,872a8bc4affffff,44
872a8bc28ffffff,872a8bc4cffffff,1
872a8bc28ffffff,872a8bc4dffffff,1
872a8bc28ffffff,872a8bc4effffff,102
872a8bc28ffffff,872a8bc50ffffff,9
872a8bc28ffffff,872a8bc51ffffff,3
872a8bc28ffffff,872a8bc52ffffff,1
872a8bc28ffffff,872a8bc5cffffff,2
872a8bc28ffffff,872a8bc5dffffff,4
872a8bc28ffffff,872a8bc62ffffff,2
872a8bc28ffffff,872a8bc64ffffff,1
872a8bc28ffffff,872a8bc69ffffff,3
872a8bc28ffffff,872a8bc8bffffff,4
872a8bc28ffffff,872a8bca8ffffff,3
872a8bc28ffffff,872a8bcacffffff,1
872a8bc28ffffff,872a8bcd2ffffff,7
872a8bc28ffffff,872a8bcd4ffffff,4
872a8bc28ffffff,872a8bcd6ffffff,1
872a8bc28ffffff,872a8bd41ffffff,1
872a8bc28ffffff,872a8bd52ffffff,1
872a8bc28ffffff,872a8bd53ffffff,6
872a8bc28ffffff,872a8bd5cffffff,1
872a8bc28ffffff,872a8bd6cffffff,1
872a8bc2affffff,872a8b102ffffff,5
872a8bc2affffff,872a8b12affffff,1
872a8bc2affffff,872a8b1a2ffffff,1
872a8bc2affffff,872a8b1aeffffff,7
872a8bc2affffff,872a8b521ffffff,12
872a8bc2affffff,872a8b525ffffff,1
872a8bc2affffff,872a8b896ffffff,1
872a8bc2affffff,872a8b89affffff,7
872a8bc2affffff,872a8b89bffffff,6
872a8bc2affffff,872a8b89effffff,1
872a8bc2affffff,872a8bc00ffffff,7
872a8bc2affffff,872a8bc01ffffff,382
872a8bc2affffff,872a8bc03ffffff,2
872a8bc2affffff,872a8bc04ffffff,8
872a8bc2affffff,872a8bc05ffffff,311
872a8bc2affffff,872a8bc06ffffff,1
872a8bc2affffff,872a8bc1affffff,10
872a8bc2affffff,872a8bc1cffffff,5
872a8bc2affffff,872a8bc20ffffff,12
872a8bc2affffff,872a8bc21ffffff,18
872a8bc2affffff,872a8bc22ffffff,1
872a8bc2affffff,872a8bc23ffffff,111
872a8bc2affffff,872a8bc28ffffff,188
872a8bc2affffff,872a8bc2affffff,31
872a8bc2affffff,872a8bc2bffffff,2
872a8bc2affffff,872a8bc2cffffff,39
872a8bc2affffff,872a8bc2effffff,148
872a8bc2affffff,872a8bc31ffffff,147
872a8bc2affffff,872a8bc40ffffff,6
872a8bc2affffff,872a8bc41ffffff,108
872a8bc2affffff,872a8bc44ffffff,3
872a8bc2affffff,872a8bc48ffffff,180
872a8bc2affffff,872a8bc4affffff,9
872a8bc2affffff,872a8bc4bffffff,1
872a8bc2affffff,872a8bc4cffffff,6
872a8bc2affffff,872a8bc4dffffff,1
872a8bc2affffff,872a8bc4effffff,67
872a8bc2affffff,872a8bc50ffffff,4
872a8bc2affffff,872a8bc51ffffff,6
872a8bc2affffff,872a8bc52ffffff,3
872a8bc2affffff,872a8bc5dffffff,3
872a8bc2affffff,872a8bc62ffffff,6
872a8bc2affffff,872a8bc64ffffff,2
872a8bc2affffff,872a8bc66ffffff,2
872a8bc2affffff,872a8bc69ffffff,2
872a8bc2affffff,872a8bc6bffffff,1
872a8bc2affffff,872a8bc71ffffff,3
872a8bc2affffff,872a8bc74ffffff,1
872a8bc2affffff,872a8bc82ffffff,2
872a8bc2affffff,872a8bc89ffffff,1
872a8bc2affffff,872a8bc8affffff,23
872a8bc2affffff,872a8bc8bffffff,62
872a8bc2affffff,872a8bc8effffff,51
872a8bc2affffff,872a8bca8ffffff,53
872a8bc2affffff,872a8bca9ffffff,148
872a8bc2affffff,872a8bcadffffff,25
872a8bc2affffff,872a8bcaeffffff,3
872a8bc2affffff,872a8bcd2ffffff,17
872a8bc2affffff,872a8bcd4ffffff,2
872a8bc2affffff,872a8bcd6ffffff,98
872a8bc2affffff,872a8bcdaffffff,1
872a8bc2affffff,872a8bcf3ffffff,2
872a8bc2affffff,872a8bcf5ffffff,1
872a8bc2affffff,872a8bd42ffffff,136
872a8bc2affffff,872a8bd50ffffff,5
872a8bc2affffff,872a8bd52ffffff,1
872a8bc2affffff,872a8bd53ffffff,17
872a8bc2affffff,872a8bd58ffffff,128
872a8bc2affffff,872a8bd63ffffff,2
872a8bc2affffff,872a8bd6cffffff,9
872a8bc2bffffff,872a8b102ffffff,1
872a8bc2bffffff,872a8b110ffffff,2
872a8bc2bffffff,872a8b896ffffff,2
872a8bc2bffffff,872a8bc01ffffff,5
872a8bc2bffffff,872a8bc05ffffff,24
872a8bc2bffffff,872a8bc0dffffff,1
872a8bc2bffffff,872a8bc1cffffff,1
872a8bc2bffffff,872a8bc1dffffff,2
872a8bc2bffffff,872a8bc20ffffff,10
872a8bc2bffffff,872a8bc21ffffff,6
872a8bc2bffffff,872a8bc23ffffff,5
872a8bc2bffffff,872a8bc28ffffff,2
872a8bc2bffffff,872a8bc2affffff,2
872a8bc2bffffff,872a8bc2cffffff,3
872a8bc2bffffff,872a8bc2effffff,5
872a8bc2bffffff,872a8bc41ffffff,11
872a8bc2bffffff,872a8bc48ffffff,7
872a8bc2bffffff,872a8bc4cffffff,8
872a8bc2bffffff,872a8bc4effffff,16
872a8bc2bffffff,872a8bc5dffffff,2
872a8bc2bffffff,872a8bc62ffffff,1
872a8bc2bffffff,872a8bc66ffffff,1
872a8bc2bffffff,872a8bc80ffffff,1
872a8bc2bffffff,872a8bc8bffffff,3
872a8bc2bffffff,872a8bc8cffffff,1
872a8bc2bffffff,872a8bca8ffffff,10
872a8bc2bffffff,872a8bcf5ffffff,2
872a8bc2bffffff,872a8bd53ffffff,16
872a8bc2bffffff,872a8bd5bffffff,12
872a8bc2cffffff,872a8bc01ffffff,1
872a8bc2cffffff,872a8bc03ffffff,2
872a8bc2cffffff,872a8bc05ffffff,20
872a8bc2cffffff,872a8bc20ffffff,4
872a8bc2cffffff,872a8bc21ffffff,6
872a8bc2cffffff,872a8bc22ffffff,1
872a8bc2cffffff,872a8bc23ffffff,20
872a8bc2cffffff,872a8bc28ffffff,31
872a8bc2cffffff,872a8bc2affffff,39
872a8bc2cffffff,872a8bc2bffffff,2
872a8bc2cffffff,872a8bc2effffff,14
872a8bc2cffffff,872a8bc33ffffff,6
872a8bc2cffffff,872a8bc41ffffff,229
872a8bc2cffffff,872a8bc48ffffff,4
872a8bc2cffffff,872a8bc4affffff,1
872a8bc2cffffff,872a8bc4effffff,11
872a8bc2cffffff,872a8bc50ffffff,8
872a8bc2cffffff,872a8bc51ffffff,72
872a8bc2cffffff,872a8bc52ffffff,1
872a8bc2cffffff,872a8bc89ffffff,1
872a8bc2cffffff,872a8bcd2ffffff,1
872a8bc2cffffff,872a8bd50ffffff,4
872a8bc2cffffff,872a8bd6cffffff,21
872a8bc2effffff,872a8b102ffffff,2
872a8bc2effffff,872a8b114ffffff,2
872a8bc2effffff,872a8b185ffffff,1
872a8bc2effffff,872a8b521ffffff,1
872a8bc2effffff,872a8b574ffffff,1
872a8bc2effffff,872a8b891ffffff,12
872a8bc2effffff,872a8b896ffffff,5
