o_hex,d_hex,trips
872a8bc2effffff,872a8b8b6ffffff,26
872a8bc2effffff,872a8bc00ffffff,10
872a8bc2effffff,872a8bc01ffffff,62
872a8bc2effffff,872a8bc04ffffff,15
872a8bc2effffff,872a8bc05ffffff,173
872a8bc2effffff,872a8bc06ffffff,3
872a8bc2effffff,872a8bc0cffffff,1
872a8bc2effffff,872a8bc15ffffff,3
872a8bc2effffff,872a8bc1cffffff,14
872a8bc2effffff,872a8bc20ffffff,25
872a8bc2effffff,872a8bc21ffffff,36
872a8bc2effffff,872a8bc23ffffff,32
872a8bc2effffff,872a8bc28ffffff,164
872a8bc2effffff,872a8bc2affffff,150
872a8bc2effffff,872a8bc2bffffff,6
872a8bc2effffff,872a8bc2cffffff,13
872a8bc2effffff,872a8bc2effffff,57
872a8bc2effffff,872a8bc40ffffff,10
872a8bc2effffff,872a8bc41ffffff,85
872a8bc2effffff,872a8bc44ffffff,2
872a8bc2effffff,872a8bc48ffffff,54
872a8bc2effffff,872a8bc4affffff,2
872a8bc2effffff,872a8bc4cffffff,8
872a8bc2effffff,872a8bc4dffffff,6
872a8bc2effffff,872a8bc4effffff,71
872a8bc2effffff,872a8bc50ffffff,2
872a8bc2effffff,872a8bc51ffffff,57
872a8bc2effffff,872a8bc52ffffff,2
872a8bc2effffff,872a8bc5dffffff,25
872a8bc2effffff,872a8bc5effffff,12
872a8bc2effffff,872a8bc62ffffff,4
872a8bc2effffff,872a8bc69ffffff,3
872a8bc2effffff,872a8bc74ffffff,3
872a8bc2effffff,872a8bc80ffffff,3
872a8bc2effffff,872a8bc82ffffff,1
872a8bc2effffff,872a8bc8bffffff,18
872a8bc2effffff,872a8bca8ffffff,18
872a8bc2effffff,872a8bcd2ffffff,28
872a8bc2effffff,872a8bcd6ffffff,8
872a8bc2effffff,872a8bcdaffffff,2
872a8bc2effffff,872a8bce2ffffff,3
872a8bc2effffff,872a8bcedffffff,10
872a8bc2effffff,872a8bd41ffffff,6
872a8bc2effffff,872a8bd48ffffff,1
872a8bc2effffff,872a8bd50ffffff,2
872a8bc2effffff,872a8bd52ffffff,10
872a8bc2effffff,872a8bd53ffffff,99
872a8bc2effffff,872a8bd58ffffff,1
872a8bc2effffff,872a8bd5affffff,9
872a8bc2effffff,872a8bd5bffffff,5
872a8bc2effffff,872a8bd5cffffff,2
872a8bc2effffff,872a8bd63ffffff,1
872a8bc2effffff,872a8bd6cffffff,1
872a8bc31ffffff,872a8bc2affffff,147
872a8bc31ffffff,872a8bc4effffff,3
872a8bc33ffffff,872a8bc2cffffff,5
872a8bc33ffffff,872a8bc41ffffff,1
872a8bc40ffffff,872a8b195ffffff,9
872a8bc40ffffff,872a8b89bffffff,7
872a8bc40ffffff,872a8bc05ffffff,2
872a8bc40ffffff,872a8bc2affffff,7
872a8bc40ffffff,872a8bc2effffff,11
872a8bc40ffffff,872a8bc40ffffff,1
872a8bc40ffffff,872a8bc41ffffff,208
872a8bc40ffffff,872a8bc48ffffff,6
872a8bc40ffffff,872a8bc4affffff,2
872a8bc40ffffff,872a8bc4cffffff,2
872a8bc40ffffff,872a8bc4effffff,51
872a8bc40ffffff,872a8bcd2ffffff,1
872a8bc40ffffff,872a8bd6cffffff,1
872a8bc41ffffff,872a8b102ffffff,2
872a8bc41ffffff,872a8b104ffffff,208
872a8bc41ffffff,872a8b110ffffff,5
872a8bc41ffffff,872a8b12affffff,1
872a8bc41ffffff,872a8b136ffffff,1
872a8bc41ffffff,872a8b1a2ffffff,1
872a8bc41ffffff,872a8b1a4ffffff,68
872a8bc41ffffff,872a8b1a6ffffff,61
872a8bc41ffffff,872a8b520ffffff,90
872a8bc41ffffff,872a8b521ffffff,134
872a8bc41ffffff,872a8b89bffffff,1
872a8bc41ffffff,872a8bc00ffffff,119
872a8bc41ffffff,872a8bc01ffffff,15
872a8bc41ffffff,872a8bc05ffffff,358
872a8bc41ffffff,872a8bc08ffffff,1
872a8bc41ffffff,872a8bc1dffffff,1
872a8bc41ffffff,872a8bc21ffffff,4
872a8bc41ffffff,872a8bc22ffffff,2
872a8bc41ffffff,872a8bc23ffffff,146
872a8bc41ffffff,872a8bc28ffffff,9
872a8bc41ffffff,872a8bc2affffff,107
872a8bc41ffffff,872a8bc2bffffff,11
872a8bc41ffffff,872a8bc2cffffff,226
872a8bc41ffffff,872a8bc2effffff,108
872a8bc41ffffff,872a8bc33ffffff,1
872a8bc41ffffff,872a8bc40ffffff,207
872a8bc41ffffff,872a8bc41ffffff,614
872a8bc41ffffff,872a8bc42ffffff,74
872a8bc41ffffff,872a8bc44ffffff,1
872a8bc41ffffff,872a8bc45ffffff,4
872a8bc41ffffff,872a8bc48ffffff,569
872a8bc41ffffff,872a8bc49ffffff,188
872a8bc41ffffff,872a8bc4affffff,327
872a8bc41ffffff,872a8bc4bffffff,1
872a8bc41ffffff,872a8bc4cffffff,22
872a8bc41ffffff,872a8bc4dffffff,1
872a8bc41ffffff,872a8bc4effffff,437
872a8bc41ffffff,872a8bc50ffffff,10
872a8bc41ffffff,872a8bc51ffffff,20
872a8bc41ffffff,872a8bc52ffffff,4
872a8bc41ffffff,872a8bc53ffffff,1
872a8bc41ffffff,872a8bc56ffffff,234
872a8bc41ffffff,872a8bc5cffffff,1
872a8bc41ffffff,872a8bc5dffffff,185
872a8bc41ffffff,872a8bc5effffff,1
872a8bc41ffffff,872a8bc62ffffff,3
872a8bc41ffffff,872a8bc64ffffff,1
872a8bc41ffffff,872a8bc66ffffff,1
872a8bc41ffffff,872a8bc69ffffff,32
872a8bc41ffffff,872a8bc76ffffff,193
872a8bc41ffffff,872a8bc89ffffff,2
872a8bc41ffffff,872a8bc8bffffff,1
872a8bc41ffffff,872a8bca2ffffff,6
872a8bc41ffffff,872a8bca9ffffff,148
872a8bc41ffffff,872a8bcabffffff,90
872a8bc41ffffff,872a8bcadffffff,208
872a8bc41ffffff,872a8bcd1ffffff,123
872a8bc41ffffff,872a8bcd2ffffff,7
872a8bc41ffffff,872a8bcd6ffffff,1
872a8bc41ffffff,872a8bce1ffffff,1
872a8bc41ffffff,872a8bd48ffffff,2
872a8bc41ffffff,872a8bd50ffffff,67
872a8bc41ffffff,872a8bd52ffffff,276
872a8bc41ffffff,872a8bd53ffffff,28
872a8bc42ffffff,872a8bc41ffffff,73
872a8bc43ffffff,872a8bc23ffffff,4
872a8bc43ffffff,872a8bc4affffff,3
872a8bc43ffffff,872a8bc4effffff,13
872a8bc44ffffff,872a8b110ffffff,1
872a8bc44ffffff,872a8b89bffffff,3
872a8bc44ffffff,872a8bc01ffffff,1
872a8bc44ffffff,872a8bc05ffffff,1
872a8bc44ffffff,872a8bc1cffffff,2
872a8bc44ffffff,872a8bc28ffffff,2
872a8bc44ffffff,872a8bc2affffff,4
872a8bc44ffffff,872a8bc2effffff,1
872a8bc44ffffff,872a8bc41ffffff,1
872a8bc44ffffff,872a8bc4effffff,4
872a8bc44ffffff,872a8bc50ffffff,1
872a8bc44ffffff,872a8bc51ffffff,175
872a8bc44ffffff,872a8bc62ffffff,2
872a8bc44ffffff,872a8bd53ffffff,2
872a8bc45ffffff,872a8bc41ffffff,4
872a8bc45ffffff,872a8bc4affffff,1
872a8bc45ffffff,872a8bc4dffffff,2
872a8bc48ffffff,872a8b116ffffff,1
872a8bc48ffffff,872a8bc05ffffff,23
872a8bc48ffffff,872a8bc06ffffff,1
872a8bc48ffffff,872a8bc21ffffff,6
872a8bc48ffffff,872a8bc22ffffff,2
872a8bc48ffffff,872a8bc23ffffff,2
872a8bc48ffffff,872a8bc28ffffff,11
872a8bc48ffffff,872a8bc2affffff,183
872a8bc48ffffff,872a8bc2bffffff,7
872a8bc48ffffff,872a8bc2cffffff,4
872a8bc48ffffff,872a8bc2effffff,57
872a8bc48ffffff,872a8bc40ffffff,6
872a8bc48ffffff,872a8bc41ffffff,628
872a8bc48ffffff,872a8bc48ffffff,64
872a8bc48ffffff,872a8bc49ffffff,101
872a8bc48ffffff,872a8bc4affffff,297
872a8bc48ffffff,872a8bc4bffffff,1
872a8bc48ffffff,872a8bc4cffffff,12
872a8bc48ffffff,872a8bc4dffffff,6
872a8bc48ffffff,872a8bc4effffff,244
872a8bc48ffffff,872a8bc50ffffff,1
872a8bc48ffffff,872a8bc51ffffff,465
872a8bc48ffffff,872a8bc52ffffff,1
872a8bc48ffffff,872a8bc5dffffff,11
872a8bc48ffffff,872a8bc62ffffff,1
872a8bc48ffffff,872a8bc64ffffff,2
872a8bc48ffffff,872a8bc75ffffff,2
872a8bc48ffffff,872a8bc8bffffff,1
872a8bc48ffffff,872a8bca8ffffff,2
872a8bc48ffffff,872a8bcabffffff,1
872a8bc48ffffff,872a8bcd2ffffff,16
872a8bc48ffffff,872a8bcd6ffffff,5
872a8bc48ffffff,872a8bcddffffff,2
872a8bc48ffffff,872a8bce1ffffff,5
872a8bc48ffffff,872a8bd52ffffff,4
872a8bc48ffffff,872a8bd59ffffff,1
872a8bc48ffffff,872a8bd6effffff,1
872a8bc49ffffff,872a8b102ffffff,147
872a8bc49ffffff,872a8b574ffffff,165
872a8bc49ffffff,872a8bc01ffffff,151
872a8bc49ffffff,872a8bc05ffffff,185
872a8bc49ffffff,872a8bc11ffffff,89
872a8bc49ffffff,872a8bc41ffffff,187
872a8bc49ffffff,872a8bc48ffffff,104
872a8bc49ffffff,872a8bc4bffffff,151
872a8bc49ffffff,872a8bc4cffffff,283
872a8bc49ffffff,872a8bc4effffff,243
872a8bc49ffffff,872a8bc5affffff,127
872a8bc49ffffff,872a8bc5dffffff,152
872a8bc49ffffff,872a8bc71ffffff,24
872a8bc49ffffff,872a8bca9ffffff,104
872a8bc49ffffff,872a8bcd6ffffff,146
872a8bc49ffffff,872a8bcdcffffff,28
872a8bc49ffffff,872a8bce0ffffff,143
872a8bc49ffffff,872a8bcf0ffffff,36
872a8bc4affffff,872a8b102ffffff,1
872a8bc4affffff,872a8b110ffffff,1
872a8bc4affffff,872a8b113ffffff,5
872a8bc4affffff,872a8b116ffffff,1
872a8bc4affffff,872a8b11effffff,99
872a8bc4affffff,872a8b134ffffff,1
872a8bc4affffff,872a8b136ffffff,16
872a8bc4affffff,872a8b1a6ffffff,1
872a8bc4affffff,872a8b521ffffff,46
872a8bc4affffff,872a8b526ffffff,2
872a8bc4affffff,872a8b562ffffff,3
872a8bc4affffff,872a8b565ffffff,1
872a8bc4affffff,872a8b89effffff,2
872a8bc4affffff,872a8bc00ffffff,1
872a8bc4affffff,872a8bc01ffffff,9
872a8bc4affffff,872a8bc05ffffff,40
872a8bc4affffff,872a8bc0dffffff,4
872a8bc4affffff,872a8bc1bffffff,1
872a8bc4affffff,872a8bc20ffffff,2
872a8bc4affffff,872a8bc21ffffff,3
872a8bc4affffff,872a8bc23ffffff,26
872a8bc4affffff,872a8bc28ffffff,42
872a8bc4affffff,872a8bc2affffff,10
872a8bc4affffff,872a8bc2cffffff,1
872a8bc4affffff,872a8bc2effffff,1
872a8bc4affffff,872a8bc40ffffff,2
872a8bc4affffff,872a8bc41ffffff,316
872a8bc4affffff,872a8bc43ffffff,3
872a8bc4affffff,872a8bc45ffffff,3
872a8bc4affffff,872a8bc48ffffff,296
872a8bc4affffff,872a8bc4affffff,5
872a8bc4affffff,872a8bc4bffffff,137
872a8bc4affffff,872a8bc4cffffff,113
872a8bc4affffff,872a8bc4dffffff,154
872a8bc4affffff,872a8bc4effffff,591
872a8bc4affffff,872a8bc50ffffff,124
872a8bc4affffff,872a8bc56ffffff,32
872a8bc4affffff,872a8bc59ffffff,89
872a8bc4affffff,872a8bc5cffffff,3
872a8bc4affffff,872a8bc5dffffff,115
872a8bc4affffff,872a8bc62ffffff,6
872a8bc4affffff,872a8bc64ffffff,1
872a8bc4affffff,872a8bc69ffffff,2
872a8bc4affffff,872a8bc6bffffff,3
872a8bc4affffff,872a8bc75ffffff,3
872a8bc4affffff,872a8bc8bffffff,19
872a8bc4affffff,872a8bca8ffffff,2
872a8bc4affffff,872a8bca9ffffff,2
872a8bc4affffff,872a8bcabffffff,7
872a8bc4affffff,872a8bcadffffff,1
872a8bc4affffff,872a8bcc0ffffff,140
872a8bc4affffff,872a8bcd2ffffff,2
872a8bc4affffff,872a8bcd6ffffff,13
872a8bc4affffff,872a8bceeffffff,1
872a8bc4affffff,872a8bd50ffffff,3
872a8bc4affffff,872a8bd52ffffff,1
872a8bc4affffff,872a8bd53ffffff,3
872a8bc4affffff,872a8bd5affffff,1
872a8bc4affffff,872a8bd5bffffff,8
872a8bc4bffffff,872a8bc2affffff,1
872a8bc4bffffff,872a8bc41ffffff,1
872a8bc4bffffff,872a8bc48ffffff,1
872a8bc4bffffff,872a8bc49ffffff,153
872a8bc4bffffff,872a8bc4affffff,138
872a8bc4bffffff,872a8bc4bffffff,2
872a8bc4bffffff,872a8bc4effffff,2
872a8bc4cffffff,872a8bc28ffffff,1
872a8bc4cffffff,872a8bc2affffff,6
872a8bc4cffffff,872a8bc2bffffff,8
872a8bc4cffffff,872a8bc2effffff,9
872a8bc4cffffff,872a8bc40ffffff,2
872a8bc4cffffff,872a8bc41ffffff,35
872a8bc4cffffff,872a8bc45ffffff,1
872a8bc4cffffff,872a8bc48ffffff,12
872a8bc4cffffff,872a8bc49ffffff,328
872a8bc4cffffff,872a8bc4affffff,117
872a8bc4cffffff,872a8bc4bffffff,1
872a8bc4cffffff,872a8bc4cffffff,2
872a8bc4cffffff,872a8bc4effffff,97
872a8bc4cffffff,872a8bc50ffffff,10
872a8bc4cffffff,872a8bc51ffffff,227
872a8bc4cffffff,872a8bc52ffffff,1
872a8bc4cffffff,872a8bcd2ffffff,3
872a8bc4dffffff,872a8bc05ffffff,3
872a8bc4dffffff,872a8bc28ffffff,1
872a8bc4dffffff,872a8bc2affffff,1
872a8bc4dffffff,872a8bc2effffff,6
872a8bc4dffffff,872a8bc41ffffff,2
872a8bc4dffffff,872a8bc48ffffff,5
872a8bc4dffffff,872a8bc49ffffff,1
872a8bc4dffffff,872a8bc4affffff,160
872a8bc4dffffff,872a8bc4dffffff,2
872a8bc4dffffff,872a8bc4effffff,7
872a8bc4dffffff,872a8bc50ffffff,10
872a8bc4dffffff,872a8bc52ffffff,3
872a8bc4effffff,872a8b102ffffff,25
872a8bc4effffff,872a8b104ffffff,3
872a8bc4effffff,872a8b110ffffff,10
872a8bc4effffff,872a8b112ffffff,1
872a8bc4effffff,872a8b113ffffff,8
872a8bc4effffff,872a8b114ffffff,1
872a8bc4effffff,872a8b116ffffff,10
872a8bc4effffff,872a8b11effffff,12
872a8bc4effffff,872a8b12affffff,7
872a8bc4effffff,872a8b130ffffff,1
872a8bc4effffff,872a8b132ffffff,75
872a8bc4effffff,872a8b135ffffff,3
872a8bc4effffff,872a8b136ffffff,15
872a8bc4effffff,872a8b185ffffff,1
872a8bc4effffff,872a8b195ffffff,1
872a8bc4effffff,872a8b1a2ffffff,5
872a8bc4effffff,872a8b1a6ffffff,10
872a8bc4effffff,872a8b1aeffffff,1
872a8bc4effffff,872a8b521ffffff,15
872a8bc4effffff,872a8b525ffffff,2
872a8bc4effffff,872a8b562ffffff,4
872a8bc4effffff,872a8b893ffffff,3
872a8bc4effffff,872a8b896ffffff,1
872a8bc4effffff,872a8b89affffff,16
872a8bc4effffff,872a8b89bffffff,11
872a8bc4effffff,872a8bc00ffffff,2
872a8bc4effffff,872a8bc01ffffff,70
872a8bc4effffff,872a8bc03ffffff,1
872a8bc4effffff,872a8bc04ffffff,9
872a8bc4effffff,872a8bc05ffffff,148
872a8bc4effffff,872a8bc06ffffff,1
872a8bc4effffff,872a8bc0cffffff,2
872a8bc4effffff,872a8bc15ffffff,2
872a8bc4effffff,872a8bc18ffffff,3
872a8bc4effffff,872a8bc1affffff,1
872a8bc4effffff,872a8bc1cffffff,4
872a8bc4effffff,872a8bc20ffffff,1
872a8bc4effffff,872a8bc21ffffff,28
872a8bc4effffff,872a8bc22ffffff,7
872a8bc4effffff,872a8bc23ffffff,71
872a8bc4effffff,872a8bc28ffffff,103
872a8bc4effffff,872a8bc2affffff,66
872a8bc4effffff,872a8bc2bffffff,17
872a8bc4effffff,872a8bc2cffffff,10
872a8bc4effffff,872a8bc2effffff,70
872a8bc4effffff,872a8bc31ffffff,3
872a8bc4effffff,872a8bc40ffffff,52
872a8bc4effffff,872a8bc41ffffff,433
872a8bc4effffff,872a8bc43ffffff,14
872a8bc4effffff,872a8bc44ffffff,7
872a8bc4effffff,872a8bc45ffffff,2
872a8bc4effffff,872a8bc48ffffff,231
872a8bc4effffff,872a8bc49ffffff,327
872a8bc4effffff,872a8bc4affffff,602
872a8bc4effffff,872a8bc4bffffff,1
872a8bc4effffff,872a8bc4cffffff,92
872a8bc4effffff,872a8bc4dffffff,7
872a8bc4effffff,872a8bc4effffff,488
872a8bc4effffff,872a8bc50ffffff,17
872a8bc4effffff,872a8bc51ffffff,20
872a8bc4effffff,872a8bc52ffffff,1
872a8bc4effffff,872a8bc53ffffff,2
872a8bc4effffff,872a8bc5bffffff,8
872a8bc4effffff,872a8bc5cffffff,14
872a8bc4effffff,872a8bc5dffffff,53
872a8bc4effffff,872a8bc62ffffff,59
872a8bc4effffff,872a8bc64ffffff,19
872a8bc4effffff,872a8bc68ffffff,2
872a8bc4effffff,872a8bc69ffffff,31
872a8bc4effffff,872a8bc6bffffff,14
872a8bc4effffff,872a8bc6effffff,3
872a8bc4effffff,872a8bc71ffffff,14
872a8bc4effffff,872a8bc74ffffff,1
872a8bc4effffff,872a8bc75ffffff,2
872a8bc4effffff,872a8bc76ffffff,1
872a8bc4effffff,872a8bc82ffffff,2
872a8bc4effffff,872a8bc83ffffff,1
872a8bc4effffff,872a8bc89ffffff,3
872a8bc4effffff,872a8bc8bffffff,47
872a8bc4effffff,872a8bc8effffff,5
872a8bc4effffff,872a8bca8ffffff,4
872a8bc4effffff,872a8bca9ffffff,2
872a8bc4effffff,872a8bcabffffff,245
872a8bc4effffff,872a8bcadffffff,4
872a8bc4effffff,872a8bcd0ffffff,3
872a8bc4effffff,872a8bcd1ffffff,1
872a8bc4effffff,872a8bcd2ffffff,36
872a8bc4effffff,872a8bcd6ffffff,49
872a8bc4effffff,872a8bcdaffffff,38
872a8bc4effffff,872a8bcddffffff,1
872a8bc4effffff,872a8bce1ffffff,1
872a8bc4effffff,872a8bce5ffffff,1
872a8bc4effffff,872a8bcebffffff,5
872a8bc4effffff,872a8bcedffffff,4
872a8bc4effffff,872a8bceeffffff,2
872a8bc4effffff,872a8bd48ffffff,8
872a8bc4effffff,872a8bd4affffff,1
872a8bc4effffff,872a8bd52ffffff,2
872a8bc4effffff,872a8bd53ffffff,11
872a8bc4effffff,872a8bd59ffffff,3
872a8bc4effffff,872a8bd5affffff,5
872a8bc4effffff,872a8bd5bffffff,1
872a8bc4effffff,872a8bd5effffff,2
872a8bc4effffff,872a8bd63ffffff,4
872a8bc4effffff,872a8bd6cffffff,3
872a8bc4effffff,872a8bd6effffff,4
872a8bc50ffffff,872a8b102ffffff,1
872a8bc50ffffff,872a8b104ffffff,6
872a8bc50ffffff,872a8b11effffff,5
872a8bc50ffffff,872a8b135ffffff,8
872a8bc50ffffff,872a8b195ffffff,3
872a8bc50ffffff,872a8b1a2ffffff,1
872a8bc50ffffff,872a8b525ffffff,6
872a8bc50ffffff,872a8b528ffffff,1
872a8bc50ffffff,872a8b575ffffff,2
872a8bc50ffffff,872a8bc00ffffff,3
872a8bc50ffffff,872a8bc01ffffff,8
872a8bc50ffffff,872a8bc04ffffff,2
872a8bc50ffffff,872a8bc05ffffff,16
872a8bc50ffffff,872a8bc15ffffff,2
872a8bc50ffffff,872a8bc1cffffff,2
872a8bc50ffffff,872a8bc1dffffff,8
872a8bc50ffffff,872a8bc21ffffff,6
872a8bc50ffffff,872a8bc23ffffff,4
872a8bc50ffffff,872a8bc28ffffff,8
872a8bc50ffffff,872a8bc2affffff,4
872a8bc50ffffff,872a8bc2cffffff,7
872a8bc50ffffff,872a8bc2effffff,3
872a8bc50ffffff,872a8bc41ffffff,10
872a8bc50ffffff,872a8bc45ffffff,2
872a8bc50ffffff,872a8bc48ffffff,1
872a8bc50ffffff,872a8bc4affffff,123
872a8bc50ffffff,872a8bc4cffffff,9
872a8bc50ffffff,872a8bc4dffffff,8
872a8bc50ffffff,872a8bc4effffff,11
872a8bc50ffffff,872a8bc50ffffff,4
872a8bc50ffffff,872a8bc5cffffff,1
